"x","y"
"7945_12932",7945,12932
"7945_13356",7945,13356
"7945_13780",7945,13780
"7945_14204",7945,14204
"7945_14628",7945,14628
"7945_15052",7945,15052
"7945_15476",7945,15476
"7945_15900",7945,15900
"7945_16324",7945,16324
"8399_1484",8399,1484
"8399_2332",8399,2332
"8399_2756",8399,2756
"8399_4452",8399,4452
"8399_4876",8399,4876
"8399_5300",8399,5300
"8399_5724",8399,5724
"8399_6148",8399,6148
"8399_7420",8399,7420
"8399_7844",8399,7844
"8399_8268",8399,8268
"8399_8692",8399,8692
"8399_9540",8399,9540
"8399_9964",8399,9964
"8399_10388",8399,10388
"8399_10812",8399,10812
"8399_11236",8399,11236
"8399_11660",8399,11660
"8399_12084",8399,12084
"8399_12508",8399,12508
"8399_13780",8399,13780
"8399_14204",8399,14204
"8399_14628",8399,14628
"8399_15052",8399,15052
"8399_15476",8399,15476
"8399_15900",8399,15900
"8399_16324",8399,16324
"8853_1908",8853,1908
"8853_2332",8853,2332
"8853_2756",8853,2756
"8853_4452",8853,4452
"8853_4876",8853,4876
"8853_5300",8853,5300
"8853_5724",8853,5724
"8853_6148",8853,6148
"8853_7844",8853,7844
"8853_8268",8853,8268
"8853_8692",8853,8692
"8853_9116",8853,9116
"8853_9540",8853,9540
"8853_9964",8853,9964
"8853_10388",8853,10388
"8853_10812",8853,10812
"8853_11236",8853,11236
"8853_11660",8853,11660
"8853_12084",8853,12084
"8853_12508",8853,12508
"8853_12932",8853,12932
"8853_14204",8853,14204
"8853_14628",8853,14628
"8853_15052",8853,15052
"8853_15476",8853,15476
"8853_15900",8853,15900
"8853_16324",8853,16324
"8853_16748",8853,16748
"9307_1908",9307,1908
"9307_2332",9307,2332
"9307_2756",9307,2756
"9307_4452",9307,4452
"9307_4876",9307,4876
"9307_5300",9307,5300
"9307_5724",9307,5724
"9307_6148",9307,6148
"9307_6996",9307,6996
"9307_7420",9307,7420
"9307_7844",9307,7844
"9307_8268",9307,8268
"9307_8692",9307,8692
"9307_9116",9307,9116
"9307_10388",9307,10388
"9307_13780",9307,13780
"9307_14204",9307,14204
"9307_14628",9307,14628
"9307_15476",9307,15476
"9307_15900",9307,15900
"9307_16324",9307,16324
"9307_16748",9307,16748
"9761_1908",9761,1908
"9761_2332",9761,2332
"9761_4452",9761,4452
"9761_4876",9761,4876
"9761_5300",9761,5300
"9761_5724",9761,5724
"9761_6148",9761,6148
"9761_6572",9761,6572
"9761_6996",9761,6996
"9761_7420",9761,7420
"9761_7844",9761,7844
"9761_8268",9761,8268
"9761_8692",9761,8692
"9761_9116",9761,9116
"9761_12932",9761,12932
"9761_13356",9761,13356
"9761_13780",9761,13780
"9761_14204",9761,14204
"9761_14628",9761,14628
"9761_15052",9761,15052
"9761_15476",9761,15476
"9761_15900",9761,15900
"9761_16324",9761,16324
"9761_16748",9761,16748
"10215_1484",10215,1484
"10215_1908",10215,1908
"10215_2332",10215,2332
"10215_2756",10215,2756
"10215_4452",10215,4452
"10215_5300",10215,5300
"10215_5724",10215,5724
"10215_6148",10215,6148
"10215_6572",10215,6572
"10215_6996",10215,6996
"10215_7420",10215,7420
"10215_7844",10215,7844
"10215_8268",10215,8268
"10215_8692",10215,8692
"10215_9116",10215,9116
"10215_13356",10215,13356
"10215_13780",10215,13780
"10215_14204",10215,14204
"10215_14628",10215,14628
"10215_15052",10215,15052
"10215_15476",10215,15476
"10215_15900",10215,15900
"10215_16324",10215,16324
"10215_16748",10215,16748
"10669_636",10669,636
"10669_1060",10669,1060
"10669_1484",10669,1484
"10669_1908",10669,1908
"10669_2332",10669,2332
"10669_2756",10669,2756
"10669_4452",10669,4452
"10669_4876",10669,4876
"10669_6572",10669,6572
"10669_6996",10669,6996
"10669_7420",10669,7420
"10669_7844",10669,7844
"10669_8268",10669,8268
"10669_8692",10669,8692
"10669_9116",10669,9116
"10669_13356",10669,13356
"10669_13780",10669,13780
"10669_14204",10669,14204
"10669_14628",10669,14628
"10669_15052",10669,15052
"10669_15476",10669,15476
"10669_15900",10669,15900
"10669_16324",10669,16324
"11123_636",11123,636
"11123_1484",11123,1484
"11123_1908",11123,1908
"11123_2332",11123,2332
"11123_2756",11123,2756
"11123_4452",11123,4452
"11123_4876",11123,4876
"11123_6572",11123,6572
"11123_6996",11123,6996
"11123_7420",11123,7420
"11123_7844",11123,7844
"11123_8268",11123,8268
"11123_8692",11123,8692
"11123_9116",11123,9116
"11123_9540",11123,9540
"11123_11236",11123,11236
"11123_11660",11123,11660
"11123_12084",11123,12084
"11123_12508",11123,12508
"11123_12932",11123,12932
"11123_13356",11123,13356
"11123_13780",11123,13780
"11123_14204",11123,14204
"11123_14628",11123,14628
"11123_15052",11123,15052
"11123_15476",11123,15476
"11123_15900",11123,15900
"11123_16324",11123,16324
"11123_16748",11123,16748
"11577_1484",11577,1484
"11577_1908",11577,1908
"11577_4452",11577,4452
"11577_4876",11577,4876
"11577_6996",11577,6996
"11577_7420",11577,7420
"11577_7844",11577,7844
"11577_8268",11577,8268
"11577_8692",11577,8692
"11577_9116",11577,9116
"11577_9540",11577,9540
"11577_9964",11577,9964
"11577_10388",11577,10388
"11577_10812",11577,10812
"11577_11236",11577,11236
"11577_11660",11577,11660
"11577_12084",11577,12084
"11577_12508",11577,12508
"11577_12932",11577,12932
"11577_13356",11577,13356
"11577_13780",11577,13780
"11577_14204",11577,14204
"11577_14628",11577,14628
"11577_15052",11577,15052
"11577_15476",11577,15476
"11577_15900",11577,15900
"11577_16324",11577,16324
"12031_4028",12031,4028
"12031_4876",12031,4876
"12031_5300",12031,5300
"12031_5724",12031,5724
"12031_6148",12031,6148
"12031_6572",12031,6572
"12031_7844",12031,7844
"12031_8268",12031,8268
"12031_8692",12031,8692
"12031_9116",12031,9116
"12031_9540",12031,9540
"12031_9964",12031,9964
"12031_10388",12031,10388
"12031_10812",12031,10812
"12031_11236",12031,11236
"12031_11660",12031,11660
"12031_12084",12031,12084
"12031_12508",12031,12508
"12031_12932",12031,12932
"12031_13356",12031,13356
"12031_13780",12031,13780
"12031_14204",12031,14204
"12031_14628",12031,14628
"12031_15052",12031,15052
"12031_15476",12031,15476
"12031_15900",12031,15900
"12485_1060",12485,1060
"12485_1484",12485,1484
"12485_2332",12485,2332
"12485_2756",12485,2756
"12485_4028",12485,4028
"12485_4876",12485,4876
"12485_5300",12485,5300
"12485_5724",12485,5724
"12485_6572",12485,6572
"12485_7844",12485,7844
"12485_8268",12485,8268
"12485_8692",12485,8692
"12485_9116",12485,9116
"12485_9540",12485,9540
"12485_9964",12485,9964
"12485_10388",12485,10388
"12485_10812",12485,10812
"12485_11236",12485,11236
"12485_11660",12485,11660
"12485_12084",12485,12084
"12485_12508",12485,12508
"12485_12932",12485,12932
"12485_13356",12485,13356
"12485_13780",12485,13780
"12485_14204",12485,14204
"12485_14628",12485,14628
"12485_15052",12485,15052
"12485_15476",12485,15476
"12939_636",12939,636
"12939_1060",12939,1060
"12939_1908",12939,1908
"12939_2332",12939,2332
"12939_2756",12939,2756
"12939_3180",12939,3180
"12939_5724",12939,5724
"12939_6148",12939,6148
"12939_6572",12939,6572
"12939_7844",12939,7844
"12939_8268",12939,8268
"12939_8692",12939,8692
"12939_9116",12939,9116
"12939_9540",12939,9540
"12939_9964",12939,9964
"12939_10388",12939,10388
"12939_10812",12939,10812
"12939_11236",12939,11236
"12939_11660",12939,11660
"12939_12084",12939,12084
"12939_12508",12939,12508
"12939_12932",12939,12932
"12939_13356",12939,13356
"12939_13780",12939,13780
"12939_14204",12939,14204
"12939_14628",12939,14628
"12939_15052",12939,15052
"13393_212",13393,212
"13393_636",13393,636
"13393_1908",13393,1908
"13393_2332",13393,2332
"13393_2756",13393,2756
"13393_3180",13393,3180
"13393_3604",13393,3604
"13393_4876",13393,4876
"13393_5300",13393,5300
"13393_5724",13393,5724
"13393_6148",13393,6148
"13393_7420",13393,7420
"13393_7844",13393,7844
"13393_8268",13393,8268
"13393_8692",13393,8692
"13393_9116",13393,9116
"13393_9540",13393,9540
"13393_9964",13393,9964
"13393_10388",13393,10388
