"Atrial cardiomyocytes","Capillary endothelium","Cardiac neural crest cells & Schwann progenitor cells","Endothelium / pericytes / adventitia","Epicardial cells","Epicardium-derived cells","Fibroblast-like (related to cardiac skeleton connective tissue)","Fibroblast-like (related to larger vascular development)","Fibroblast-like (related to smaller vascular development)","Myoz2-enriched cardiomyocytes","Smooth muscle cells / fibroblast-like)","Ventricular cardiomyocytes"
"1135_4876",0.986991095916459,0.013008845481721,1.0751252742652e-08,2.54040746783505e-09,1.76033476464536e-09,5.75092990071153e-09,6.82533800692025e-09,6.41594537528107e-09,6.08759640277578e-09,9.02754288128884e-09,3.87625268194425e-09,5.56621960665342e-09
"1135_5300",0.821871791934221,3.07543383080935e-09,7.8331349196584e-09,1.99355525370615e-09,0.176942398085767,0.00118572378812002,1.0562907866979e-08,7.19591542164127e-09,1.91745857766132e-08,7.36585843013882e-09,2.4008618905337e-08,4.98188208206089e-09
"1135_9540",5.31420904210268e-10,3.22732275680521e-10,5.72890123071216e-10,1.77917074899075e-10,0.217013277194036,0.751515411873408,1.15939202911413e-09,0.0314712602321786,4.52258615534552e-08,5.66481305491277e-10,1.91876432702036e-09,2.24918556312768e-10
"1135_9964",0.0160363577024093,0.151456378916371,4.46879968392011e-08,1.20491469357494e-08,0.172301585366706,0.456951472929565,3.31027379236239e-08,2.5431775287782e-07,0.160206414131766,2.31772799285851e-08,3.2727969093563e-08,0.0430473908902988
"1135_10388",2.36210374989405e-10,8.94672662617505e-09,7.31409468430901e-10,0.0603683349476449,0.146484357383096,0.570748838391862,2.27570452607244e-09,2.04253694659957e-09,0.163448068052922,0.058950385719999,1.02704593219342e-09,2.44842118376391e-10
"1135_10812",4.03178628186773e-08,3.96154144125334e-08,4.67257734883294e-08,2.04158817465109e-08,0.103273640773828,0.763786527982283,2.90429044939139e-07,1.94880709475835e-07,0.132938818524601,4.37461655958317e-08,3.10603574962804e-07,2.59848605838638e-08
"1589_1060",0.944249004811326,4.43963378213754e-09,6.60467130751373e-09,2.03771203742853e-09,0.0557508711576608,3.96881660208514e-08,1.39350241387533e-08,9.69079229887859e-09,1.65265560325542e-08,1.10054850629813e-08,1.21670652096825e-08,7.93590695273245e-09
"1589_1484",0.981098714939098,0.00682755838729033,0.011134051378525,7.80991236896548e-08,0.000938928278098589,6.20651258416588e-08,6.57611402911965e-08,1.15054346462305e-07,6.37081553677379e-08,1.88967627609241e-07,5.07664112921563e-08,1.22595057221206e-07
"1589_1908",0.933370688589659,0.0596290625289816,3.81766029268004e-07,5.14087109062655e-08,0.00699903668203532,7.84531742927111e-08,8.06420193749709e-08,8.59853325300323e-08,7.72069722822565e-08,2.27418454779257e-07,6.86497133890117e-08,1.60668916974628e-07
"1589_2332",0.994903165036557,0.00509631005659587,2.27440901549384e-07,7.54394440027258e-08,1.24425410834498e-08,1.79480068955937e-08,2.18433975509886e-08,2.45314599346088e-08,1.95297648565696e-08,7.38987699431554e-08,1.79639177534449e-08,3.3868643859809e-08
"1589_2756",0.89954596604643,0.0634130570557416,0.0323505348301341,2.31263298966826e-09,0.00469038576149425,4.74934756245425e-09,5.40569087931348e-09,4.92995200754068e-09,4.07339159373606e-09,1.64347108652613e-08,6.80951912832536e-09,1.15909544136795e-08
"1589_4876",0.996805059358579,0.00189970591483728,0.00129400475284853,3.00507302124137e-08,4.3591183323869e-08,6.26421401170706e-08,6.65643799118043e-08,9.73700946006161e-08,6.74102626272765e-08,5.9995699687087e-07,4.88442577257642e-08,2.13543689734756e-07
"1589_5300",0.947447784731327,2.07578665469193e-09,5.18883492111419e-09,0.00246197045390177,0.0500901550321661,1.78382329293042e-08,1.45253481798835e-08,8.99592226896808e-09,2.73401593838371e-08,5.86385279483504e-09,4.40518956431522e-09,3.54927859797294e-09
"1589_8692",0.103916023141893,1.13295655279465e-07,6.4124818270906e-07,0.00257125357122787,0.00530223781179563,0.189280701513994,3.40666173842859e-07,0.0403460476740654,0.0740783339273951,4.88276779458475e-06,1.74247956201971e-07,0.584499250133866
"1589_9116",0.0325821964990007,2.28677058304507e-09,3.14760475632595e-08,1.18705348514167e-09,0.012441863236373,0.44648956539456,1.07415530987331e-08,7.80026097326429e-09,1.51550118566413e-07,0.123563153626514,8.47254548445779e-09,0.384923007729203
"1589_9540",6.63603000830066e-08,9.91899586029002e-09,5.97479406196948e-08,5.51020725833436e-09,0.0275773702721834,0.0773683348187888,3.86058755496442e-08,0.00124122667927641,0.109374811749777,9.79502714335394e-07,2.01255456095452e-08,0.784437076708395
